category,company_name,official_website,evidence_url,evidence_type,bakuraku_product_use,industry,confidence,source_checked_date,evidence_title
confirmed_customer,AppBank株式会社,https://www.appbank.co.jp/,https://bakuraku.jp/case/appbank/,Official Bakuraku customer story,バクラク経費精算,情報通信業,high,2026-08-20,電帳法対応をきっかけにバクラク経費精算に乗り換え。使いやすさを重視し、業務効率化を実現
confirmed_customer,ASKUL LOGIST株式会社,https://www.askullogist.co.jp/,https://bakuraku.jp/case/askullogist/,Official Bakuraku customer story,バクラク申請 | バクラク経費精算 | バクラク請求書受取,運輸・物流,high,2026-08-20,AIで差し戻し半減、紙と現金をゼロへ。利用者負担の少ないシステムでドライバーと経理の経費処理の負荷を削減
confirmed_customer,Byside株式会社,https://byside.co.jp/,https://bakuraku.jp/case/byside/,Official Bakuraku customer story,バクラク経費精算,専門・技術サービス,high,2026-08-20,創業期にバクラク経費精算を導入。AI-OCRの力で申請者の負担を最小限に抑えられるように
confirmed_customer,i-PRO株式会社,https://i-pro.com/,https://bakuraku.jp/case/i-pro/ | https://bakuraku.jp/case/i-pro_kazumiru/,Official Bakuraku customer story,バクラク請求書発行 | バクラク申請 | バクラク請求書受取,専門・技術サービス | 情報通信業 | 製造業 | 税理士事務所・会計事務所,high,2026-08-20,社内に埋もれる帳票を一括管理。2拠点×リモートワーク体制でも営業↔経理の確認作業をラクに行う秘訣とは | 500枚の請求書処理が2時間で完了！ i-PROとカズミルが取り組んだ「経理の笑顔を取り戻す」プロジェクト
confirmed_customer,JR九州エンジニアリング株式会社,https://www.eng.jrkyushu-g.co.jp/,https://bakuraku.jp/case/eng_jrkyushu-g/,Official Bakuraku customer story,バクラクビジネスカード,専門・技術サービス | 建設業 | 製造業,high,2026-08-20,JR九州エンジニアリングで29拠点・350名への法人カード展開を実現。経費精算の処理工数を1/10に
confirmed_customer,JUKI産機テクノロジー株式会社,https://www.jdkc.co.jp/,https://bakuraku.jp/case/jdkc/,Official Bakuraku customer story,バクラク電子帳簿保存,製造業,high,2026-08-20,『バクラク電子帳簿保存』は既存業務への影響が少なく導入しやすい！AI-OCRで月次決算にもスピーディに対応
confirmed_customer,MICIN少額短期保険株式会社,https://micin-insurance.jp/,https://bakuraku.jp/case/micin-insurance/,Official Bakuraku customer story,バクラクビジネスカード,金融業・保険業,high,2026-08-20,「安心して事業部に渡せる」バクラクビジネスカードの魅力
confirmed_customer,note株式会社,https://note.jp/,https://bakuraku.jp/case/note/,Official Bakuraku customer story,バクラク申請 | バクラク請求書受取,生活関連サービス業・娯楽業,high,2026-08-20,テクノロジーの活用でひらける経理の可能性。クリエイターを支援するnote株式会社の挑戦
confirmed_customer,Peach Aviation 株式会社,https://www.flypeach.com/,https://bakuraku.jp/case/peach/,Official Bakuraku customer story,バクラク申請 | バクラク請求書受取,運輸・物流,high,2026-08-20,国内外の請求書をAIが自動でデータ化。手入力の手間をなくし、コア業務に注力できるバックオフィス体制を構築
confirmed_customer,RITAグループホールディングス株式会社,https://ritagroup.co.jp/,https://bakuraku.jp/case/ritagroup/,Official Bakuraku customer story,バクラク請求書受取,卸売・小売・商社 | 生活関連サービス業・娯楽業,high,2026-08-20,九州で一番DXが進んだコーポレート部門を目指して。独自KPI「バクラク率」を作り、デジタル化を推進
